"type","name_en","name_th","effect_th","code"
"action","Bad Spread","ทาเยอะไปหน่อย","เล่นไพ่ใบนี้พร้อมกับ Action อีก 1 ใบ เพื่อเพิ่ม Effect ของ Action ใบนั้นเป็น 2 เท่า","A028"
"action","Barbershop Quartet","วงประสานเสียงสี่คน","เลือกขโมยไพ่ 4 ใบจากผู้เล่นอีก 1 คน หรือจั่วไพ่ 4 ใบ","A029"
"action","Be Careful","ระวังหน่อย","แอบดู Trap ที่วางไว้ของผู้เล่นคนอื่นทุกคน คนละ 1 ใบ","A030"
"action","Big Baby","เด็กยักษ์","ผู้เล่นที่อายุมากที่สุดต้องทิ้งไพ่ 3 ใบ","A031"
"action","Bound Together","ผูกติดกัน","ขโมยไพ่ทั้งหมดในมือของผู้เล่นอีก 1 คน นำมาสับรวมกับไพ่ในมือคุณ แล้วแจกกลับให้คุณทั้งสองคนเท่า ๆ กัน","A032"
"action","Can You Do This?","ทำแบบนี้ได้ไหม?","Mini-Game: ทำท่าทางอย่างหนึ่ง แล้วเลือกผู้เล่นอีก 1 คนให้ทำตาม หากทำไม่ได้ ขโมยไพ่จากเขา 3 ใบ","A033"
"action","Cannonball","ลูกปืนใหญ่!","ผู้เล่นทุกคนทิ้ง Trap ที่วางไว้คนละ 1 ใบ","A034"
"action","Come Out to Play","ออกมาเล่นกันเถอะ","ในเทิร์นถัดไป ผู้เล่นทุกคนที่มี Action อยู่ในมือต้องเล่น Action","A035"
"action","Confession","คำสารภาพ","จั่วไพ่ 3 ใบ แต่ต้องเปิดให้ผู้เล่นคนอื่นทุกคนเห็น","A036"
"action","Day of Birth","วันเกิด","หากวันนี้เป็นวันเกิดของคุณ คุณชนะเกมทันที!","A037"
"action","Die Potato","ตายซะ มันฝรั่ง!","เลือกผู้เล่นอีก 1 คนให้ทิ้งไพ่ 3 ใบ","A038"
"action","Don't Want to Be Fat","ไม่อยากอ้วน","เลือกผู้เล่นอีก 1 คนหรือเลือกตัวเอง ให้ทิ้งไพ่ 5 ใบ","A039"
"action","I Love It!","ฉันชอบมัน!","Action 3 ใบถัดไปที่ถูกเล่น เมื่อใช้เสร็จแล้วจะเข้ามาอยู่ในมือคุณแทนที่จะลงกองทิ้ง","A040"
"action","Feed Me Paper","เอากระดาษมาให้ฉันกิน","คุณและผู้เล่นอีก 1 คนที่คุณเลือก ทิ้งไพ่คนละ 3 ใบ","A041"
"action","Get Off My Property","ออกไปจากบ้านฉัน!","ผู้เล่นทุกคนที่ไม่ได้อาศัยอยู่ที่นี่ ทิ้งไพ่คนละ 2 ใบ","A042"
"action","Got It Back In","เอากลับเข้าไปแล้ว","ขโมยไพ่ทั้งหมดในมือของผู้เล่นอีก 1 คน แล้วนำไพ่เหล่านั้นไปใส่ไว้ตรงไหนก็ได้ในกองจั่ว","A043"
"action","Grow Up Fast","โตไว ๆ","ผู้เล่นทุกคนปรับจำนวนไพ่ในมือให้เหลือ 7 ใบ โดยถ้ามีน้อยกว่าให้จั่วเพิ่ม และถ้ามากกว่าให้ทิ้ง","A044"
"action","Hit By A Card","โดนไพ่ฟาด","บังคับผู้เล่นอีก 1 คนให้ทิ้งไพ่ทั้งหมดในมือ แล้วจั่วไพ่ใหม่ 3 ใบ","A045"
"action","Homework","การบ้าน","ดูไพ่ 5 ใบถัดไปจากกอง เลือกเก็บไว้ 1 ใบ","A046"
"action","I Sentence You","ฉันขอตัดสินโทษนาย","ให้ผู้เล่นอีก 1 คนเลือกระหว่างข้าม 1 เทิร์น หรือทิ้งไพ่ 3 ใบ","A047"
"action","I Want My Lemons","เอามะนาวฉันคืนมา!","ถามว่า “Do you have my lemons?” หากผู้เล่นคนอื่นมีไพ่ “My Lemons” ให้ขโมยไพ่ทั้งหมดในมือของผู้เล่นคนนั้น","A048"
"action","I'm On My Way","กำลังไปแล้ว!","มอบไพ่ใบนี้ให้ผู้เล่นที่เล่นต่อจากคุณ","A049"
"action","Intervention","ต้องคุยกันหน่อยแล้ว","ผู้เล่นที่มีไพ่ในมือมากที่สุดต้องข้ามเทิร์นถัดไป หากเสมอกัน ผู้เล่นที่เสมอกันทั้งหมดข้ามเทิร์น","A050"
"action","Invisible Billy","บิลลี่ล่องหน","เลือกผู้เล่นอีก 1 คนให้เปิดไพ่ในมือให้คุณดู แล้วเลือกขโมยมา 1 ใบ","A051"
"action","Is This You?","นี่นายเหรอ?","จั่วไพ่ 3 ใบ แล้วเลือกผู้เล่นอีก 1 คนให้จั่ว 3 ใบเช่นกัน","A052"
"action","Is This Yours?","นี่ของนายเหรอ?","เลือกผู้เล่นอีก 1 คนให้นำ Trap ที่วางไว้ทั้งหมดกลับเข้ามือ","A053"
"action","Jewellery","เครื่องประดับ","ผู้เล่นที่สวมเครื่องประดับมากที่สุดทิ้งไพ่ 2 ใบ หากเสมอกันให้ผู้เล่นที่เสมอกันทั้งหมดทิ้ง","A054"
"action","Killed Us All","ฆ่าพวกเราหมดเลย","คุณทิ้งไพ่ 2 ใบ ผู้เล่นคนอื่นทั้งหมดทิ้งคนละ 1 ใบ","A055"
"action","Let You Go","ปล่อยนายไป","ทิ้งไพ่ใบใดก็ได้ที่คุณไม่ต้องการ","A056"
"action","Lie to Me","โกหกฉันสิ","Mini-Game: บอกผู้เล่นอีก 1 คนด้วยเรื่องจริง 1 เรื่องและเรื่องโกหก 1 เรื่อง หากเขาแยกไม่ได้ว่าเรื่องไหนจริงหรือโกหก เขาต้องทิ้งไพ่ 3 ใบ","A057"
"action","Little Baby","เด็กน้อย","ผู้เล่นที่อายุน้อยที่สุดต้องทิ้งไพ่ 3 ใบ","A058"
"action","Mine Now","ของฉันแล้ว","ขโมย Trap ที่วางไว้ของผู้เล่นอีก 1 คน แล้วนำกลับเข้ามือคุณ","A059"
"action","Alien Invasion","เอเลี่ยนบุก!","มอบไพ่ทั้งหมดในมือของคุณให้ผู้เล่นอีก 1 คน","A060"
"action","Alphabet","ท่องตัวอักษร","Mini-Game: เลือกผู้เล่นอีก 1 คนให้ท่องตัวอักษรภาษาอังกฤษจาก Z → A หากพูดผิด ให้ทิ้งไพ่ 3 ใบ","A061"
"action","Baby Voice","เสียงเด็กน้อย","Mini-Game: เลือกผู้เล่นอีก 1 คนให้พูดด้วยเสียงเด็กจนถึงเทิร์นถัดไปของคุณ หากทำไม่ได้ ขโมยไพ่จากเขา 3 ใบ","A062"
"action","Baby With A Gun","เด็กถือปืน","ขโมยไพ่กี่ใบก็ได้จากผู้เล่นคนอื่นกี่คนก็ได้","A063"
"action","Banana Peel","เปลือกกล้วย","ใส่ไพ่ใบนี้กลับเข้าไปในกองจั่วโดยหงายหน้า ผู้เล่นที่จั่วเจอจะเก็บไพ่ใบนี้ไว้และต้องทิ้งไพ่อื่น 3 ใบ","A064"
"action","Big Bee","ผึ้งยักษ์","ผู้เล่นทุกคนที่มีตัวอักษร “b” อยู่ในชื่อเต็ม จั่วไพ่คนละ 2 ใบ","A065"
"action","Cake Day","วันเค้ก","ผู้เล่นทุกคนมอบไพ่คนละ 1 ใบให้ผู้เล่นที่มีวันเกิดใกล้จะถึงที่สุด","A066"
"action","Can't Breathe","หายใจไม่ออก","Mini-Game: แข่งกลั้นหายใจ ผู้เล่นที่กลั้นได้นานที่สุดจั่วไพ่ 3 ใบ","A067"
"action","Cat Allergy","แพ้แมว","ผู้เล่นทุกคนที่เลี้ยงแมว ทิ้งไพ่คนละ 2 ใบ","A068"
"action","Cool Hat","หมวกเท่จัง","ผู้เล่นทุกคนที่สวมหมวก จั่วไพ่คนละ 3 ใบ","A069"
"action","Desmond The Moon Bear","เดสมอนด์ หมีแห่งดวงจันทร์","ผู้เล่นที่อยู่ไกลจากบ้านของตัวเองมากที่สุด จั่วไพ่ 3 ใบ","A070"
"action","Do The Flop","ล้มตัวลง!","ผู้เล่นทุกคนวางไพ่ในมือหงายหน้าไว้จนถึงเทิร์นถัดไปของคุณ","A071"
"action","Don't Even","อย่าแม้แต่จะคิด","ไม่มีผู้เล่นคนใดสามารถเล่น Action ได้จนถึงเทิร์นถัดไปของคุณ","A072"
"action","Draw A Bear","จั่วหมี","จั่วไพ่ 3 ใบ หากหนึ่งในนั้นคือ “Desmond The Moon Bear” ให้จั่วเพิ่มอีก 3 ใบ","A073"
"action","Drunk Science","วิทยาศาสตร์เมา ๆ","นำไพ่ในมือของผู้เล่นทุกคนมารวมกัน สับ แล้วแจกกลับให้ทุกคนเท่า ๆ กัน","A074"
"action","Evil Tie","เนกไทปีศาจ","ขโมยไพ่ 1 ใบจากผู้เล่นทุกคนที่มีจำนวนไพ่ในมือเท่ากับคุณ","A075"
"action","Falling Up","ตกขึ้นข้างบน","กลับทิศทางการเล่น","A076"
"action","Got Your Nose","ขโมยจมูกแล้ว!","ขโมยไพ่ 1 ใบจากผู้เล่นอีก 1 คน","A077"
"action","Here Comes The Aeroplane","เครื่องบินมาแล้ว!","มอบไพ่ใบนี้ให้ผู้เล่นอีก 1 คน จากนี้ไพ่ใบนี้เป็นของผู้เล่นคนนั้น","A078"
"action","Here! Have It!","เอ้า! เอาไป!","มอบไพ่ใบใดก็ได้ที่คุณไม่ต้องการให้ผู้เล่นอีก 1 คน","A079"
"action","Here It Comes!","มาแล้ว!","ผู้เล่นทุกคนขโมยไพ่ 1 ใบจากผู้เล่นที่นั่งทางขวาของตัวเอง","A080"
"action","Hey, Are You An Angel?","เฮ้ เธอเป็นนางฟ้าเหรอ?","ขโมยไพ่ 1 ใบจากผู้เล่นผู้หญิงทุกคน","A081"
"action","Hey, You Two Should Kiss!","เฮ้ พวกเธอสองคนจูบกันสิ!","จั่วไพ่ 2 ใบ แต่ต้องมอบ 1 ใบให้ผู้เล่นอีกคน","A082"
"action","Hit The Apple","ตีแอปเปิล!","Mini-Game: ผู้เล่นทุกคนรวมถึงคุณต้องแตะไพ่ใบนี้ คนสุดท้ายที่แตะต้องทิ้งไพ่ 3 ใบ","A083"
"action","Hold This!","ถือไว้นะ!","สลับไพ่ทั้งหมดในมือกับผู้เล่นอีก 1 คนที่คุณเลือก","A084"
"action","Hold Your Horses","ใจเย็นก่อน!","ไม่มีผู้เล่นคนใดสามารถชนะเกมได้จนถึงเทิร์นถัดไปของคุณ","A085"
"action","I Can Explain","ฉันอธิบายได้นะ","เลือกผู้เล่นอีก 1 คนให้หงาย Trap ที่วางไว้ทั้งหมด โดยไม่ทำให้ Trap ทำงาน","A086"
"action","I Like Trains","ฉันชอบรถไฟ","ผู้เล่นทุกคนส่งไพ่ทั้งหมดในมือให้ผู้เล่นทางซ้าย","A087"
"action","I Suck At This Game","ฉันห่วยเกมนี้","ผู้เล่นที่มีไพ่ในมือน้อยที่สุดจั่วไพ่ 3 ใบ หากเสมอกันให้ผู้เล่นที่เสมอกันทั้งหมดจั่ว","A088"
"action","I Used To Be A Cow","ฉันเคยเป็นวัว","ผู้เล่นทุกคนที่กินเนื้อสัตว์ ข้ามเทิร์นถัดไป","A089"
"action","I Wanna Die","ฉันอยากตาย","ทิ้งไพ่ทั้งหมดในมือ (จะหยุดเล่นด้วยก็ได้)","A090"
"action","I'm A Doctor","ฉันเป็นหมอ","จั่วไพ่เท่ากับจำนวนไพ่ที่ถูกขโมยหรือถูกบังคับให้ทิ้งจากคุณ นับตั้งแต่เทิร์นก่อนหน้าของคุณ","A091"
"action","I'm Crazy","ฉันบ้าไปแล้ว!","นำไพ่ทั้งหมดกลับเข้ากอง สับไพ่ แล้วเริ่มเกมใหม่ทั้งหมด","A092"
"action","Imma Getcha!","จับได้แน่!","เลือกผู้เล่นอีก 1 คนให้ทิ้ง Action ทั้งหมดที่อยู่ในมือ","A093"
"action","In Sync","พร้อมเพรียง","ใช้ Effect ของ Action ใบล่าสุดที่ถูกเล่นซ้ำอีกครั้ง","A094"
"action","Johnny Big Feet","จอห์นนี่เท้าใหญ่","ผู้เล่นที่มีเท้าใหญ่ที่สุดจั่วไพ่ 3 ใบ หากเสมอกันให้ผู้เล่นที่เสมอกันทั้งหมดจั่ว","A095"
"action","Joust Time","ถึงเวลาดวล!","Mini-Game: เป่ายิ้งฉุบกับผู้เล่นอีก 1 คน ผู้ชนะจั่วไพ่ 3 ใบ","A096"
"action","Magical Pony","โพนี่วิเศษ","จั่วไพ่ 4 ใบ","A097"
"action","Medication","ยา","ผู้เล่นทุกคนที่กินยาภายใน 24 ชั่วโมงที่ผ่านมา จั่วไพ่คนละ 2 ใบ","A098"
"action","Mine Turtle","เต่าระเบิด","ผู้เล่นทุกคนทิ้งไพ่คนละ 3 ใบ","A099"
"action","Muffin Factory","โรงงานมัฟฟิน","คุณสามารถเล่น Action เพิ่มอีก 2 ใบในเทิร์นนี้","A100"
"action","Muffin Time","ถึงเวลามัฟฟิน!","จั่วไพ่ 5 ใบ","A101"
"action","No Dog?!","ไม่มีหมาเหรอ?!","ผู้เล่นทุกคนที่ไม่ได้เลี้ยงสุนัข ทิ้งไพ่คนละ 2 ใบ","A102"
"action","No Llama No!","ไม่นะ ลามะ ไม่!","ขโมยไพ่ 1 ใบจากผู้เล่นทุกคนที่ขับรถไม่เป็น","A103"
"action","Okay, Draw!","โอเค ชักปืน!","Mini-Game: ผู้เล่นทุกคนทำมือเป็นปืนแล้วเล็งใส่กัน ผู้เล่นที่ถูกเล็งมากที่สุดทิ้งไพ่ 3 ใบ หากเสมอกันให้ผู้เล่นที่เสมอกันทั้งหมดทิ้ง","A104"
"action","Oh No!","โอ้ไม่นะ!","Mini-Game: ทายจำนวน Action ที่อยู่ในมือของผู้เล่นอีก 1 คน หากทายจำนวนได้ถูกต้องพอดี ขโมย Action ทั้งหมดของผู้เล่นคนนั้น","A105"
"action","Pie Flavor","พายรสอะไร?","เลือกไพ่ 1 ใบจากไพ่ 10 ใบล่าสุดในกองทิ้งมาเก็บไว้","A106"
"action","Piece of Me","ส่วนหนึ่งของฉัน","มอบไพ่ 2 ใบให้ผู้เล่นอีก 1 คน","A107"
"action","Play That One","เล่นใบนั้นสิ","เลือก Action 1 ใบจากมือของผู้เล่นอีก 1 คน แล้วบังคับให้ผู้เล่นคนนั้นเล่นไพ่ใบนั้น","A108"
"action","Pointless","ไม่มีประโยชน์","ไม่มีอะไรเกิดขึ้น","A109"
"action","Skateboards","สเกตบอร์ด","ผู้เล่นทุกคนส่งไพ่ทั้งหมดในมือให้ผู้เล่นทางขวา","A110"
"action","Snake Arms","แขนงู","ขโมยไพ่ 1 ใบจากผู้เล่นผู้ชายทุกคน","A111"
"action","Stolen Face","ขโมยหน้า","ขโมยไพ่ 2 ใบจากผู้เล่นอีก 1 คน","A112"
"action","Suddenly Pineapples","จู่ ๆ ก็สับปะรด","ทิ้ง Trap ที่วางอยู่ทั้งหมด","A113"
"action","Take It Outside","ไปเคลียร์กันข้างนอก!","Mini-Game: ท้าอีก 1 คนงัดข้อหรือเล่นสงครามนิ้วโป้ง ผู้ชนะจั่วไพ่ 3 ใบ","A114"
"action","Tall Midget","คนแคระตัวสูง","ผู้เล่นที่สูงที่สุดต้องมอบไพ่ 3 ใบให้ผู้เล่นที่เตี้ยที่สุด","A115"
"action","Time Machine","ไทม์แมชชีน","นำไพ่ของคุณ 1 ใบจากกองทิ้งกลับมา","A116"
"action","What Are You Doing?!","นายทำอะไรเนี่ย?!","นำกองทิ้งทั้งหมดโดยไม่สับ ไปวางไว้ด้านบนของกองจั่ว","A117"
"action","Whose Idea?","ไอเดียใครเนี่ย?","ขโมยไพ่ 3 ใบจากผู้เล่นที่เป็นคนเสนอให้เล่นเกมนี้","A118"
"action","Why Wait?","จะรอทำไม?","เลือกผู้เล่นอีก 1 คน แล้วข้ามการเล่นไปยังเทิร์นถัดไปของผู้เล่นคนนั้น","A119"
"action","Wish Granted","คำขอเป็นจริง","เลือกประเภทไพ่ Action, Trap หรือ Counter อย่างใดอย่างหนึ่ง แล้วขโมยไพ่ประเภทนั้น 1 ใบจากผู้เล่นอีก 1 คน","A120"
"action","Yay! Cookies!","เย้! คุกกี้!","ขโมยไพ่ 1 ใบจากผู้เล่นคนอื่นทุกคน","A121"
"action","You're Adopted","นายถูกรับเลี้ยงแล้ว","นำไพ่ 3 ใบล่าสุดจากกองทิ้งมาเป็นของคุณ","A122"
"action","You're Dead!","นายตายแล้ว!","เลือกผู้เล่นอีก 1 คนให้ทิ้ง Counter ทั้งหมดในมือ ไพ่ใบนี้ไม่สามารถถูก Counter ได้","A123"
"action","You're Fat","นายอ้วน","เลือกผู้เล่นอีก 1 คนให้จั่วไพ่ 5 ใบ","A124"
"action","Do Not Want","ไม่เอา!","มอบไพ่ใบนี้ให้ผู้เล่นอีก 1 คน แล้วขโมยไพ่จากผู้เล่นคนนั้น 1 ใบ","A125"
"action","Gunman","มือปืน","เลือกผู้เล่นอีก 1 คนให้เป็นมือปืน จากนั้นผู้เล่นคนนั้นต้องเลือกผู้เล่นคนใดก็ได้ 1 คนให้ทิ้งไพ่ทั้งหมดในมือ","A126"
"action","My Lemons","มะนาวของฉัน","ทิ้งไพ่ 4 ใบ","A127"
"action","New Camera","กล้องใหม่","Mini-Game: ถ่ายรูปร่วมกับผู้เล่นทุกคน (ความทรงจำเหล่านี้มีค่านะ)","A128"
"action","Only One","เหลือแค่หนึ่ง","ผู้เล่นทุกคนทิ้งไพ่จนเหลือไพ่ในมือเพียงคนละ 1 ใบ","A129"
"action","Promotion","เลื่อนตำแหน่ง","เลือกผู้เล่น 1 คน ให้ผู้เล่นคนนั้นเลือกไพ่ของตัวเอง 1 ใบแล้วมอบให้ผู้เล่นอีก 1 คน","A130"
"action","Rainbows","สายรุ้ง","เลือกสีของสายรุ้ง 1 สี ผู้เล่นทุกคนที่สวมใส่สีนั้นทิ้งไพ่คนละ 1 ใบ","A131"
"action","Level Up","เลเวลอัป!","คุณจั่วไพ่ 2 ใบ ผู้เล่นคนอื่นทั้งหมดจั่วคนละ 1 ใบ","A132"
"action","Screw Gravity","ช่างหัวแรงโน้มถ่วง!","จั่วไพ่ 3 ใบจากด้านล่างของกองจั่ว","A133"
"action","Standing Up School","โรงเรียนยืนขึ้น","Mini-Game: ผู้เล่นทุกคนรวมถึงคุณต้องยืนขึ้น คนสุดท้ายที่ยืนต้องทิ้งไพ่ 3 ใบ","A134"
"action","Time of Death","เวลาแห่งความตาย","เปลี่ยนเงื่อนไขชนะของ Muffin Time จาก 10 ใบ เป็นจำนวนไพ่ที่คุณเลือก และใช้จำนวนใหม่นี้ไปจนจบเกม","A135"
"action","What's Their Name?","เขาชื่ออะไรนะ?","เลือกผู้เล่นอีก 1 คน หากผู้เล่นคนนั้นไม่รู้ชื่อเต็มของคุณ ขโมยไพ่จากเขา 3 ใบ","A136"
"action","Watcha Get?","ได้อะไรมา?","ผู้เล่นทุกคนขโมยไพ่ 1 ใบจากผู้เล่นที่มีวันเกิดครั้งถัดไปใกล้ที่สุด","A137"
"action","You're A Nerd","นายมันเด็กเนิร์ด","ผู้เล่นทุกคนที่สวมแว่น จั่วไพ่คนละ 2 ใบ","A138"
"counter","Baby with Two Guns","เด็กกับปืนสองกระบอก","หยุดไพ่ “Baby With a Gun” และขโมยไพ่จากผู้เล่นที่ใช้ไพ่ใบนั้นกี่ใบก็ได้ตามที่คุณต้องการ","C01"
"counter","Don't Jump!","อย่ากระโดด!","หยุดไม่ให้ผู้เล่นคนอื่นทิ้งไพ่ของตัวเอง.","C02"
"counter","Here They Are","อยู่นี่ไง","หากคุณกำลังถูกบังคับให้ทิ้งไพ่ ให้เก็บไพ่ไว้ได้ 2 ใบ","C03"
"counter","Not My Hand!","อย่าเอาไพ่ฉัน!","หยุดไม่ให้ไพ่ของคุณถูกขโมย แล้วเลือกผู้เล่นคนอื่นให้ถูกขโมยไพ่แทน","C04"
"counter","Put It Back","เอาคืนไป","นำไพ่ Action, Counter หรือ Trap ที่กำลังถูกใช้ กลับคืนสู่มือของผู้เล่นที่ใช้ไพ่ใบนั้น","C05"
"counter","Stop It!","หยุดนะ!","หยุดการถูกบังคับให้จั่วหรือขโมยไพ่","C06"
"counter","Wannabe","เอาด้วยคน","เลือกให้ตัวคุณได้รับผลจากไพ่ Action หรือ Trap ที่กำลังทำงานอยู่ด้วย","C07"
"counter","Can't Fire Me","ไล่ฉันออกไม่ได้หรอก","หากผู้เล่นคนอื่นพยายามขโมยไพ่ของคุณ ให้คุณทิ้งไพ่ในจำนวนเท่ากันแทน","C08"
"counter","Dog With A Knife","หมาถือมีด","หยุดไพ่ Trap ที่กำลังทำงานอยู่","C09"
"counter","I'm A Ghost","ฉันเป็นผี","หยุดไพ่ Action ที่กำลังทำงานอยู่ แต่คุณต้องทิ้งไพ่ Trap ที่วางไว้ทั้งหมดของคุณ","C10"
"counter","I Can't Read","ฉันอ่านไม่ออก","คุณไม่ได้รับผลจากไพ่ Trap ที่กำลังทำงานอยู่","C11"
"counter","Look Out","ระวัง!","หยุดผู้เล่นคนอื่นไม่ให้ขโมยไพ่ของคุณหรือของผู้เล่นคนอื่น","C12"
"counter","Me! Me! Me!","ฉัน! ฉัน! ฉัน!","หยุดไพ่ Action ที่กำลังทำงานอยู่ และเลื่อนเทิร์นไปเป็นเทิร์นของคุณ","C13"
"counter","Aw, Come On!","โธ่ เอาน่า!","หยุดไพ่ Action ที่ผู้เล่นคนอื่นกำลังใช้ และบังคับให้ผู้เล่นคนนั้นทิ้งไพ่ 3 ใบ","C14"
"counter","Beep Beep I'm a Sheep","บี๊บ บี๊บ ฉันเป็นแกะ","ไพ่ Action ที่ถูกใช้เจาะจงใส่คุณ จะเปลี่ยนเป็นมีผลกับผู้เล่นทุกคน","C15"
"counter","Bomb Squad","หน่วยกู้ระเบิด","หยุดไพ่ “Mine Turtle” และจั่วไพ่ให้ตัวเอง 3 ใบ","C16"
"counter","Can't Tell Me","สั่งฉันไม่ได้หรอก","หยุดไพ่ Action ที่กำลังทำงานอยู่ และจั่วไพ่ใหม่ให้ตัวเอง 1 ใบ","C17"
"counter","Catch The Knife","รับมีดไป!","หยุดไพ่ Counter ที่กำลังทำงานอยู่","C18"
"counter","Chase Me!","จับฉันให้ได้สิ!","หากผู้เล่นคนอื่นขโมยไพ่ใบนี้จากคุณ ผู้เล่นคนนั้นต้องทิ้งไพ่ทั้งหมดในมือ","C19"
"counter","Dead To Me","ตายไปจากใจฉันแล้ว","หยุดไพ่ Action หรือ Trap ที่กำลังทำงานอยู่ และบังคับให้ผู้เล่นที่ใช้ไพ่ใบนั้นข้ามเทิร์นถัดไป","C20"
"counter","Evil Butterfly","ผีเสื้อปีศาจ","หยุดไพ่ Counter ที่กำลังทำงานอยู่ แล้วขโมยไพ่ Counter ใบนั้นมาเป็นของคุณ","C21"
"counter","Meow Meow I'm a Cow","เหมียว เหมียว ฉันเป็นวัว","ไพ่ Action ที่มีผลกับผู้เล่นทุกคน จะเปลี่ยนเป็นมีผลกับผู้เล่นเพียง 1 คนที่คุณเลือก","C22"
"counter","My Favorite","ของโปรดของฉัน","เพิ่มผลของไพ่ Action ที่ถูกใช้ใส่คุณเป็นสองเท่า","C23"
"counter","Never Take Me Alive","ไม่มีวันจับฉันได้หรอก","หยุดไพ่ Action ที่กำลังทำงานอยู่ แต่คุณต้องข้ามเทิร์นถัดไป","C24"
